/usr/bin/java  -classpath /home/atz2nd/Desktop/YCSB/conf:/home/atz2nd/Desktop/YCSB/core/target/core-0.17.0-SNAPSHOT.jar:/home/atz2nd/Desktop/YCSB/mssql/src/main/conf:/home/atz2nd/Desktop/YCSB/mssql/target/jdbc-mssql-binding-0.17.0-SNAPSHOT.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/HdrHistogram-2.1.9.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-collections-3.2.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-lang-2.4.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/commons-pool-1.5.4.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/htrace-core4-4.2.0-incubating.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/mssql-jdbc-7.2.2.jre8.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-jdbc-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-kernel-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/openjpa-lib-2.1.1.jar:/home/atz2nd/Desktop/YCSB/mssql/target/dependency/serp-1.13.1.jar com.yahoo.ycsb.Client -t -db com.yahoo.ycsb.db.JdbcDBClient -s -P /home/atz2nd/Desktop/YCSB/mssql/db.properties -P /home/atz2nd/Desktop/YCSB/workloads/workloadC -p recordcount=10 -threads 1 -p operationcount=10
Adding shard node URL: jdbc:sqlserver://localhost:1433;databaseName=ycsb
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 486
[OVERALL], Throughput(ops/sec), 20.5761316872428
[TOTAL_GCS_PS_Scavenge], Count, 0
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 0
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.0
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 174.0
[CLEANUP], MinLatency(us), 174
[CLEANUP], MaxLatency(us), 174
[CLEANUP], 95thPercentileLatency(us), 174
[CLEANUP], 99thPercentileLatency(us), 174
[SCAN], Operations, 10
[SCAN], AverageLatency(us), 8105.6
[SCAN], MinLatency(us), 818
[SCAN], MaxLatency(us), 66815
[SCAN], 95thPercentileLatency(us), 66815
[SCAN], 99thPercentileLatency(us), 66815
[SCAN], Return=OK, 10
